          543           4               997651
          539           3               978037
          539           4               981949
          539           7               993689
          537           3               970219
          537           8               989743
          536           1               958577
          535           7               978001
          533           6               966307
          533          12               989641
          531           5               954697
          531           6               958549
          531           7               962413
          531           9               970147
          531          16               997333
          530           1               935507
          529           4               943153
          529           5               946993
          529           8               958519
          529          15               985597
          527           7               946969
          527          13               970027
          527          15               977761
          525           2               920291
          525          13               962257
          523          13               954517
          523          14               958339
          523          18               973691
          523          20               981391
          521          12               943003
          521          15               954433
          521          26               996601
          519           4               905207
          517           6               905189
          517          22               965623
          517          23               969433
          517          26               980899
          517          29               992359
          515          23               961663
          515          30               988321
          515          32               995941
          513          11               908849
          513          22               950149
          513          23               953923
          513          24               957703
          512           1               868151
          511           4               875491
          511           7               886549
          511          20               934939
          511          24               949987
          511          35               991603
          509           2               860819
          507           6               868123
          507           8               875443
          507          13               893821
          507          17               908597
          507          30               957097
          505           5               857161
          505           7               864439
          505          17               901097
          505          18               904777
          505          30               949381
          505          39               983131
          505          41               990643
          503           7               857137
          503          10               868051
          503          12               875341
          503          25               923123
          503          28               934243
          503          30               941683
          501           6               846259
          501           7               849869
          501          12               867991
          501          14               875263
          501          38               963751
          499           4               831847
          499           6               839029
          499           8               846229
          499           9               849833
          499          14               867913
          499          18               882449
          499          27               915353
          499          32               933787
          499          38               955993
          497           2               817561
          497           4               824683
          497           6               831829
          497          10               846187
          497          23               893227
          497          26               904157
          497          29               915143
          497          39               951967
          497          44               970493
          495           2               810457
          495           8               831799
          495          15               856897
          495          39               944263
          495          48               977521
          495          50               984913
          493           7               821081
          493          10               831757
          493          11               835321
          493          12               838897
          493          13               842473
          493          18               860381
          493          35               921959
          493          36               925607
          493          38               932923
          493          40               940249
          491          12               831697
          491          13               835253
          491          40               932593
          489           4               796307
          489           8               810401
          489          10               817463
          489          14               831619
          489          23               863689
          489          48               954139
          489          50               961447
          488           1               782263
          487          12               817403
          487          16               831529
          487          21               849271
          487          22               852829
          487          26               867091
          487          34               895757
          487          41               920999
          487          42               924617
          487          51               957337
          487          58               982931
          485           8               796259
          485          11               806789
          485          19               834949
          485          23               849119
          485          36               895469
          485          37               899051
          485          57               971441
          485          58               975089
          484           1               768373
          483           2               768371
          483           9               792713
          483          10               796217
          483          21               834811
          483          23               841879
          483          32               873781
          483          40               902303
          483          43               913067
          483          49               934669
          483          58               967261
          483          61               978179
          481          14               803141
          481          18               817123
          481          32               866431
          481          44               909107
          481          47               919859
          481          50               930619
          481          52               937813
          481          54               945031
          481          57               955853
          480           1               754573
          479          13               792593
          479          22               823981
          479          25               834487
          479          45               905147
          479          47               912287
          479          52               930157
          479          59               955313
          479          62               966149
          479          63               969767
          477          11               778643
          477          20               809891
          477          21               813367
          477          23               820331
          477          24               823819
          477          25               827311
          477          32               851821
          477          34               858833
          477          45               897647
          475           4               747743
          475          18               795877
          475          20               802811
          475          22               809747
